id,description,price
1,product-1,1
2,product-2,2
3,product-3,3
4,product-4,4
5,product-5,5
6,product-6,6
7,product-7,7
8,product-8,8
9,product-9,9
10,product-10,10
11,product-11,11
12,product-12,12
13,product-13,13
14,product-14,14
15,product-15,15
16,product-16,16
17,product-17,17
18,product-18,18
19,product-19,19
20,product-20,20
21,product-21,21
22,product-22,22
23,product-23,23
24,product-24,24
25,product-25,25
26,product-26,26
27,product-27,27
28,product-28,28
29,product-29,29
30,product-30,30
31,product-31,31
32,product-32,32
33,product-33,33
34,product-34,34
35,product-35,35
36,product-36,36
37,product-37,37
38,product-38,38
39,product-39,39
40,product-40,40
41,product-41,41
42,product-42,42
43,product-43,43
44,product-44,44
45,product-45,45
46,product-46,46
47,product-47,47
48,product-48,48
49,product-49,49
50,product-50,50
51,product-51,51
52,product-52,52
53,product-53,53
54,product-54,54
55,product-55,55
56,product-56,56
57,product-57,57
58,product-58,58
59,product-59,59
60,product-60,60
61,product-61,61
62,product-62,62
63,product-63,63
64,product-64,64
65,product-65,65
66,product-66,66
67,product-67,67
68,product-68,68
69,product-69,69
70,product-70,70
71,product-71,71
72,product-72,72
73,product-73,73
74,product-74,74
75,product-75,75
76,product-76,76
77,product-77,77
78,product-78,78
79,product-79,79
80,product-80,80
81,product-81,81
82,product-82,82
83,product-83,83
84,product-84,84
85,product-85,85
86,product-86,86
87,product-87,87
88,product-88,88
89,product-89,89
90,product-90,90
91,product-91,91
92,product-92,92
93,product-93,93
94,product-94,94
95,product-95,95
96,product-96,96
97,product-97,97
98,product-98,98
99,product-99,99
100,product-100,100
